v_phys,v_phi_phys,lam_phi_phys,lam_phys,g_portal_max,R0,w,SE,max_g
4.2e-05,8.5e-05,0.1,0.001,2.0,11.9,3.0,1.40100284713476e-16,2.0
4.2e-05,8.5e-05,0.1,0.0009689655172413793,2.0,11.9,3.0,1.4010028471325278e-16,2.0
4.2e-05,8.5e-05,0.1,0.0009379310344827586,2.0,11.9,3.0,1.4010028471450332e-16,2.0
4.2e-05,8.5e-05,0.1,0.000906896551724138,2.0,11.9,3.0,1.4010028471289303e-16,2.0
4.2e-05,8.5e-05,0.1,0.0007517241379310345,2.0,11.9,3.0,1.4010028471099713e-16,2.0
4.2e-05,8.625000000000001e-05,0.1,0.0008137931034482759,2.0,11.9,3.0,1.4249624358247716e-16,2.0
4.2e-05,8.625000000000001e-05,0.1,0.0007827586206896552,2.0,11.9,3.0,1.4249624358251158e-16,2.0
4.2e-05,8.625000000000001e-05,0.1,0.0007517241379310345,2.0,11.9,3.0,1.424962435826386e-16,2.0
4.2e-05,8.625000000000001e-05,0.1,0.0007206896551724138,2.0,11.9,3.0,1.4249624358272977e-16,2.0
4.2e-05,8.625000000000001e-05,0.1,0.000689655172413793,2.0,11.9,3.0,1.4249624358275923e-16,2.0
4.2e-05,8.625000000000001e-05,0.1,0.00013103448275862066,2.0,11.9,3.0,1.4249624358121355e-16,2.0
4.2e-05,8.750000000000001e-05,0.1,0.000689655172413793,2.0,11.9,3.0,1690.6855183108898,2.0
